 SCHEDULE FA1 (REVISI 0) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 LINE , PART NO , MODEL , SPEC , PEDAL , SCREW SET , KEYBOARD , NO PART KEYBOARD , NO. URUT ,SCHEDULE (REVISI 0),,,,,,,TOTAL,GROUP KERJA, Wkt kerja ,Target Eff Direct,Jmlh Group, Jml Opr Direct , ST ,"Beban
(ST x Sch)",,,,,,,Judgment Capacity,"TAKT TIME PER MODEL
(BEBAN/TOTAL BEBAN) * WAKTU KERJA/SCH",,,,,,,"LAMA PENGERJAAN
(Takt Time x Sch)",,,,,,, WAKTU PENGERJAAN (berdasarkan Takt Time Per Model) ,,,,,,,,,,,,,,,,,,,,,Takt Time ALL Model, Takt Time Per Model , Pitch Time  ,Pitch : Takt,,,,,,,,,,,,,,,,
,,,,,,,,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,,,,,,,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,Sun,,Istirahat,Mon,,Istirahat,Tue,,Istirahat,Wed,,Istirahat,Thu,,Istirahat,Fri,,Istirahat,Sat,,Istirahat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,,,,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,,,,,,Note:,,,,,,,,,,,,,,
,VGF2630,CLP-875B,Y2,VFD5260,ZH88230,NL4MAW2 KEYBOARD AI_EB_ESC_88,VGN1320,6,         -,         -,         -,         -,1,         -,         -,1,,,,,,128.16,               -,               -,               -,               -,128,               -,               -,,               -,               -,               -,               -,9,               -,               -,               -,               -,               -,               -,9,               -,               -,7:00,7:00,,14:50,14:50,,12:25,12:25,,14:50,14:50,,9:33,9:42,,10:08,10:08,,7:00,7:00,,,9.03,1.3,14.40%,,,,,,,,,,,,,,,,
,VGF2810,CLP-875WB,J,VFD5260,ZH88230,NL4MAW2 KEYBOARD AI_EB_ESC_88,VGN1320,7,         -,         -,         -,         -,         -,10,         -,10,,,,,,128.16,               -,               -,               -,               -,               -,"1,282",               -,,               -,               -,               -,               -,               -,11.7,               -,               -,               -,               -,               -,               -,117,               -,7:00,7:00,,14:50,14:50,,12:25,12:25,,14:50,14:50,,9:42,9:42,,10:08,12:05,,7:00,7:00,,,11.74,1.3,11.10%,,,,,,,,,,,,,,,,
,VGF2870,CLP-875WB,Y2,VFD5260,ZH88230,NL4MAW2 KEYBOARD AI_EB_ESC_88,VGN1320,8,         -,         -,         -,         -,         -,2,         -,2,,,,,,128.16,               -,               -,               -,               -,               -,256,               -,,               -,               -,               -,               -,               -,11.7,               -,               -,               -,               -,               -,               -,23,               -,7:00,7:00,,14:50,14:50,,12:25,12:25,,14:50,14:50,,9:42,9:42,,12:05,12:29,,7:00,7:00,,,11.74,1.3,11.10%,,,,,,,,,,,,,,,,
,VGF1990,CLP-885B,E,VFD5260,VGJ0480,NL4MAW2 KEYBOARD AI_EB_ESC_88_CW,VGN1310,9,,,14,,,,,14,,,,,,146.86,                -  ,                -  ,"2,056",                -  ,                -  ,                -  ,                -  ,,               -,               -,10.3,               -,               -,               -,               -,               -,               -,145,               -,               -,               -,               -,7:00,7:00,,14:50,14:50,,12:25,14:50,,14:50,14:50,,9:42,9:42,,12:29,12:29,,7:00,7:00,,,10.35,1.3,12.60%,,,,,,,,,,,,,,,,
,VGF2420,CLP-875R,J,VFG9680,ZH88230,NL4MAW2 KEYBOARD AI_EB_ESC_88,VGN1320,10,,,,,17,,,17,,,,,,128.16,                -  ,                -  ,                -  ,                -  ,"2,179",                -  ,                -  ,,               -,               -,               -,               -,9,               -,               -,               -,               -,               -,               -,154,               -,               -,7:00,7:00,,14:50,14:50,,14:50,14:50,,14:50,14:50,,9:42,12:16,,12:29,12:29,,7:00,7:00,,,9.03,1.3,14.40%,,,,,,,,,,,,,,,,
,VGF2480,CLP-875R,Y2,VFG9680,ZH88230,NL4MAW2 KEYBOARD AI_EB_ESC_88,VGN1320,11,,,,,1,,,1,,,,,,128.16,                -  ,                -  ,                -  ,                -  ,128,                -  ,                -  ,,               -,               -,               -,               -,9,               -,               -,               -,               -,               -,               -,9,               -,               -,7:00,7:00,,14:50,14:50,,14:50,14:50,,14:50,14:50,,12:16,12:25,,12:29,12:29,,7:00,7:00,,,9.03,1.3,14.40%,,,,,,,,,,,,,,,,
,VGF2670,CLP-875WH,E,VFD5260,ZH88230,NL4MAW2 KEYBOARD AI_EB_ESC_88,VGN1320,12,,,,,,3,,3,,,,,,128.16,                -  ,                -  ,                -  ,                -  ,                -  ,384,                -  ,,               -,               -,               -,               -,               -,11.7,               -,               -,               -,               -,               -,               -,35,               -,7:00,7:00,,14:50,14:50,,14:50,14:50,,14:50,14:50,,12:25,12:25,,12:29,13:04,,7:00,7:00,,,11.74,1.3,11.10%,,,,,,,,,,,,,,,,
,VGF2710,CLP-875WH,CHN,VFD5260,ZH88230,NL4MAW2 KEYBOARD AI_EB_ESC_88,VGN1320,13,,,,,,8,,8,,,,,,128.16,                -  ,                -  ,                -  ,                -  ,                -  ,"1,025",                -  ,,               -,               -,               -,               -,               -,11.7,               -,               -,               -,               -,               -,               -,94,               -,7:00,7:00,,14:50,14:50,,14:50,14:50,,14:50,14:50,,12:25,12:25,,13:04,14:38,,7:00,7:00,,,11.74,1.3,11.10%,,,,,,,,,,,,,,,,
,VGF2760,CLP-875WH,Y2,VFD5260,ZH88230,NL4MAW2 KEYBOARD AI_EB_ESC_88,VGN1320,14,,,,,,1,,1,,,,,,128.16,                -  ,                -  ,                -  ,                -  ,                -  ,128,                -  ,,               -,               -,               -,               -,               -,11.7,               -,               -,               -,               -,               -,               -,12,               -,7:00,7:00,,14:50,14:50,,14:50,14:50,,14:50,14:50,,12:25,12:25,,14:38,14:50,,7:00,7:00,,,11.74,1.3,11.10%,,,,,,,,,,,,,,,,
,VGF1990,CLP-885B,E,VFD5260,VGJ0480,NL4MAW2 KEYBOARD AI_EB_ESC_88_CW,VGN1310,15,,,,,5,,,5,,,,,,146.86,                -  ,                -  ,                -  ,                -  ,734,                -  ,                -  ,,               -,               -,               -,               -,10.3,               -,               -,               -,               -,               -,               -,52,               -,               -,7:00,7:00,,14:50,14:50,,14:50,14:50,,14:50,14:50,,12:25,13:16,,14:50,14:50,,7:00,7:00,,,10.35,1.3,12.60%,,,,,,,,,,,,,,,,
,VGF2020,CLP-885B,J,VFD5260,VGJ0480,NL4MAW2 KEYBOARD AI_EB_ESC_88_CW,VGN1310,16,,,,,9,,,9,,,,,,146.86,                -  ,                -  ,                -  ,                -  ,"1,322",                -  ,                -  ,,               -,               -,               -,               -,10.3,               -,               -,               -,               -,               -,               -,93,               -,               -,7:00,7:00,,14:50,14:50,,14:50,14:50,,14:50,14:50,,12:25,13:58,,14:38,14:38,,7:00,7:00,,,10.35,1.3,12.60%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,                 -,,,,,,,               -,               -,               -,               -,               -,               -,               -,,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,7:00,7:00,,14:50,14:50,,14:50,14:50,,14:50,14:50,,13:16,13:16,,14:50,14:50,,7:00,7:00,,,               -  ,#N/A,- ,,,,,,,,,,,,,,,,
 TOTAL FA1-L04 ,,,,,,,,,              -,50,50,50,50,38,              -,238,,470,,,14,,                    -  ,"6,670","6,670","6,670","6,670","5,132",                    -  , Jumlah Orang OK ,,,,,,,,                  -,470,470,470,470,470,                  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,          -  ,,               -  ,"6,670","6,670","6,670","6,670","6,670",               -  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,          -  ,,               -  ,               -  ,               -  ,               -  ,               -  ,"1,538",               -  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA1-L05,,,,,,,,,,,,,,,,,S1 + LS2,"1,045",106.60%,2,28,,                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,                -  , OVER Capacity ,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,5.7,               -  ,,- ,,,,,,,,,,,,,,,,
,VEG8150,YDP-165B,E,VCS0270,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,1,100,,,,,,,100,,,,,,85.6,"8,560",                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,,8.9,               -,               -,               -,               -,               -,               -,886,               -,               -,               -,               -,               -,               -,7:00,21:45,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,8.86,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8050,YDP-165R,E,VCS0260,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,2,18,26,,         -,,         -,         -,44,,,,,,85.6,"1,541","2,226",                -  ,                -  ,                -  ,                -  ,                -  ,,8.9,5.7,               -,               -,               -,               -,               -,159,149,               -,               -,               -,               -,               -,21:45,0:25,,7:00,9:29,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,8.86,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8100,YDP-165R,Y,VCS0260,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,3,         -,26,,         -,,         -,         -,26,,,,,,85.6,                -  ,"2,226",                -  ,                -  ,                -  ,                -  ,                -  ,,               -,5.7,               -,               -,               -,               -,               -,               -,149,               -,               -,               -,               -,               -,0:25,0:25,,9:29,11:58,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8150,YDP-165B,E,VCS0270,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,4,         -,         -,,52,,         -,         -,52,,,,,,85.6,                -  ,                -  ,                -  ,"4,451",                -  ,                -  ,                -  ,,               -,               -,               -,5.7,               -,               -,               -,               -,               -,               -,299,               -,               -,               -,0:25,0:25,,11:58,11:58,,7:00,7:00,,7:00,11:58,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8250,YDP-165WH,E,VCS0270,VAS6550,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,5,         -,12,,12,,         -,         -,24,,,,,,85.6,                -  ,"1,027",                -  ,"1,027",                -  ,                -  ,                -  ,,               -,5.7,               -,5.7,               -,               -,               -,               -,69,               -,69,               -,               -,               -,0:25,0:25,,11:58,13:07,,7:00,7:00,,11:58,13:07,,7:00,7:00,,7:00,7:00,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8280,YDP-165WH,J,VCS0270,VAS6550,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,6,         -,,         -,         -,,12,         -,12,,,,,,85.6,                -  ,                -  ,                -  ,                -  ,                -  ,"1,027",                -  ,,               -,               -,               -,               -,               -,24.9,               -,               -,               -,               -,               -,               -,299,               -,0:25,0:25,,13:07,13:07,,7:00,7:00,,13:07,13:07,,7:00,7:00,,7:00,11:58,,7:00,7:00,,,24.88,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8290,YDP-165WH,CHN,VCS0270,VAS6550,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,7,         -,         -,         -,         -,         -,20,         -,20,,,,,,85.6,                -  ,                -  ,                -  ,                -  ,                -  ,"1,712",                -  ,,               -,               -,               -,               -,               -,24.9,               -,               -,               -,               -,               -,               -,498,               -,0:25,0:25,,13:07,13:07,,7:00,7:00,,13:07,13:07,,7:00,7:00,,11:58,20:16,,7:00,7:00,,,24.88,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8350,YDP-165WA,E,VCS0270,VAS6540,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,8,,,,,,10,,10,,,,,,85.6,                -  ,                -  ,                -  ,                -  ,                -  ,856,                -  ,,               -,               -,               -,               -,               -,24.9,               -,               -,               -,               -,               -,               -,249,               -,0:25,0:25,,13:07,13:07,,7:00,7:00,,13:07,13:07,,7:00,7:00,,20:16,0:25,,7:00,7:00,,,24.88,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8250,YDP-165WH,E,VCS0270,VAS6550,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,9,,12,,12,,,,24,,,,,,85.6,                -  ,"1,027",                -  ,"1,027",                -  ,                -  ,                -  ,,               -,5.7,               -,5.7,               -,               -,               -,               -,69,               -,69,               -,               -,               -,0:25,0:25,,13:07,14:16,,7:00,7:00,,13:07,14:16,,7:00,7:00,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8150,YDP-165B,E,VCS0270,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,10,,70,         -,,         -,,,70,,,,,,85.6,                -  ,"5,992",                -  ,                -  ,                -  ,                -  ,                -  ,,               -,5.7,               -,               -,               -,               -,               -,               -,402,               -,               -,               -,               -,               -,0:25,0:25,,14:16,20:58,,7:00,7:00,,14:16,14:16,,7:00,7:00,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8160,YDP-165B,B,VCS0270,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,11,,,         -,46,         -,,,46,,,,,,85.6,                -  ,                -  ,                -  ,"3,938",                -  ,                -  ,                -  ,,               -,               -,               -,5.7,               -,               -,               -,               -,               -,               -,264,               -,               -,               -,0:25,0:25,,20:58,20:58,,7:00,7:00,,14:16,18:40,,7:00,7:00,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8180,YDP-165B,J,VCS0270,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,12,,30,         -,,         -,,,30,,,,,,85.6,                -  ,"2,568",                -  ,                -  ,                -  ,                -  ,                -  ,,               -,5.7,               -,               -,               -,               -,               -,               -,172,               -,               -,               -,               -,               -,0:25,0:25,,20:58,23:50,,7:00,7:00,,18:40,18:40,,7:00,7:00,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8170,YDP-165B,U,VCS0270,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,13,,,         -,50,         -,,,50,,,,,,85.6,                -  ,                -  ,                -  ,"4,280",                -  ,                -  ,                -  ,,               -,               -,               -,5.7,               -,               -,               -,               -,               -,               -,287,               -,               -,               -,0:25,0:25,,23:50,23:50,,7:00,7:00,,18:40,23:27,,7:00,7:00,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8050,YDP-165R,E,VCS0260,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,14,,6,34,,         -,,,40,,,,,,85.6,                -  ,514,"2,911",                -  ,                -  ,                -  ,                -  ,,               -,5.7,5.7,               -,               -,               -,               -,               -,34,195,               -,               -,               -,               -,0:25,0:25,,23:50,0:24,,7:00,10:15,,23:27,23:27,,7:00,7:00,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8080,YDP-165R,J,VCS0260,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,15,,,30,10,3,,,43,,,,,,85.6,                -  ,                -  ,"2,568",856,257,                -  ,                -  ,,               -,               -,5.7,5.7,5.7,               -,               -,               -,               -,172,57,17,               -,               -,0:25,0:25,,0:24,0:24,,10:15,13:07,,23:27,0:24,,7:00,7:17,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8070,YDP-165R,U,VCS0260,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,16,,,         -,,26,,,26,,,,,,85.6,                -  ,                -  ,                -  ,                -  ,"2,226",                -  ,                -  ,,               -,               -,               -,               -,5.7,               -,               -,               -,               -,               -,               -,149,               -,               -,0:25,0:25,,0:24,0:24,,13:07,13:07,,0:24,0:24,,7:17,9:46,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8100,YDP-165R,Y,VCS0260,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,17,,,         -,,35,,,35,,,,,,85.6,                -  ,                -  ,                -  ,                -  ,"2,996",                -  ,                -  ,,               -,               -,               -,               -,5.7,               -,               -,               -,               -,               -,               -,201,               -,               -,0:25,0:25,,0:24,0:24,,13:07,13:07,,0:24,0:24,,9:46,13:07,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8050,YDP-165R,E,VCS0260,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,18,,,46,,,,,46,,,,,,85.6,                -  ,                -  ,"3,938",                -  ,                -  ,                -  ,                -  ,,               -,               -,5.7,               -,               -,               -,               -,               -,               -,264,               -,               -,               -,               -,0:25,0:25,,0:24,0:24,,13:07,17:31,,0:24,0:24,,13:07,13:07,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8080,YDP-165R,J,VCS0260,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,19,,,24,,,,,24,,,,,,85.6,                -  ,                -  ,"2,054",                -  ,                -  ,                -  ,                -  ,,               -,               -,5.7,               -,               -,               -,               -,               -,               -,138,               -,               -,               -,               -,0:25,0:25,,0:24,0:24,,17:31,19:49,,0:24,0:24,,13:07,13:07,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8150,YDP-165B,E,VCS0270,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,20,,,48,,,,,48,,,,,,85.6,                -  ,                -  ,"4,109",                -  ,                -  ,                -  ,                -  ,,               -,               -,5.7,               -,               -,               -,               -,               -,               -,276,               -,               -,               -,               -,0:25,0:25,,0:24,0:24,,19:49,0:24,,0:24,0:24,,13:07,13:07,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8100,YDP-165R,Y,VCS0260,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,21,,,,,30,,,30,,,,,,85.6,                -  ,                -  ,                -  ,                -  ,"2,568",                -  ,                -  ,,               -,               -,               -,               -,5.7,               -,               -,               -,               -,               -,               -,172,               -,               -,0:25,0:25,,0:24,0:24,,0:24,0:24,,0:24,0:24,,13:07,15:59,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8180,YDP-165B,J,VCS0270,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,22,,,,,26,,,26,,,,,,85.6,                -  ,                -  ,                -  ,                -  ,"2,226",                -  ,                -  ,,               -,               -,               -,               -,5.7,               -,               -,               -,               -,               -,               -,149,               -,               -,0:25,0:25,,0:24,0:24,,0:24,0:24,,0:24,0:24,,15:59,18:29,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8200,YDP-165B,Y,VCS0270,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,23,,,,,2,,,2,,,,,,85.6,                -  ,                -  ,                -  ,                -  ,171,                -  ,                -  ,,               -,               -,               -,               -,5.7,               -,               -,               -,               -,               -,               -,11,               -,               -,0:25,0:25,,0:24,0:24,,0:24,0:24,,0:24,0:24,,18:29,18:40,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8190,YDP-165B,CHN,VCS0270,VAS6530,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,24,,,,,52,,,52,,,,,,85.6,                -  ,                -  ,                -  ,                -  ,"4,451",                -  ,                -  ,,               -,               -,               -,               -,5.7,               -,               -,               -,               -,               -,               -,299,               -,               -,0:25,0:25,,0:24,0:24,,0:24,0:24,,0:24,0:24,,18:40,23:39,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8280,YDP-165WH,J,VCS0270,VAS6550,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,25,,,,,8,,,8,,,,,,85.6,                -  ,                -  ,                -  ,                -  ,685,                -  ,                -  ,,               -,               -,               -,               -,5.7,               -,               -,               -,               -,               -,               -,46,               -,               -,0:25,0:25,,0:24,0:24,,0:24,0:24,,0:24,0:24,,23:39,0:25,,0:25,0:25,,7:00,7:00,,,5.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,                 -,,,,,,,                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,0:25,0:25,,0:24,0:24,,0:24,0:24,,0:24,0:24,,0:25,0:25,,0:25,0:25,,7:00,7:00,,,               -  ,#N/A,- ,,,,,,,,,,,,,,,,
 TOTAL FA1-L05 ,,,,,,,,,118,182,182,182,182,42,              -,888,,0,,,              -  ,,"10,101","15,580","15,580","15,580","15,580","3,595",                    -  , - ,,,,,,,,"1,045","1,045","1,045","1,045","1,045","1,045",                  -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, SL3 ,,,,, S1 ,,,,0,,,          -  ,,               -  ,               -  ,               -  ,               -  ,               -  ,               -  ,               -  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0,,,          -  ,,"-10,101","-15,580","-15,580","-15,580","-15,580","-3,595",               -  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 FA1-L06 ,,,,,,,,,,,,,,,,                 -,S1 + S3,880,129.80%,2,27.9,,                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,                -  , OVER Capacity ,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,7:00,7:00,,4.2,               -  ,,- ,,,,,,,,,,,,,,,,
,VEG8570,YDP-145B,U,VCS0270,VAS6530,GHL KEYBOARD TEXTURE A88 K6 300,ZE37820,1,,,44,,42,,,86,,,,,,76.66,                -  ,                -  ,"3,373",                -  ,"3,220",                -  ,                -  ,,               -,               -,4.2,               -,4.2,               -,               -,               -,               -,187,               -,178,               -,               -,7:00,7:00,,7:00,7:00,,7:00,10:06,,7:00,7:00,,7:00,9:58,,7:00,7:00,,7:00,7:00,,,4.24,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8380,YDP-165WA,J,VCS0270,VAS6540,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,2,20,         -,,         -,,,,20,,,,,,85.6,"1,712",                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,,10.2,               -,               -,               -,               -,               -,               -,203,               -,               -,               -,               -,               -,               -,7:00,10:23,,7:00,7:00,,10:06,10:06,,7:00,7:00,,9:58,9:58,,7:00,7:00,,7:00,7:00,,,10.16,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8250,YDP-165WH,E,VCS0270,VAS6550,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,3,23,         -,18,         -,28,         -,         -,69,,,,,,85.6,"1,969",                -  ,"1,541",                -  ,"2,397",                -  ,                -  ,,10.2,               -,4.7,               -,4.7,               -,               -,234,               -,85,               -,133,               -,               -,10:23,14:16,,7:00,7:00,,10:06,11:31,,7:00,7:00,,9:58,12:10,,7:00,7:00,,7:00,7:00,,,10.16,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8280,YDP-165WH,J,VCS0270,VAS6550,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,4,15,         -,         -,         -,10,         -,         -,25,,,,,,85.6,"1,284",                -  ,                -  ,                -  ,856,                -  ,                -  ,,10.2,               -,               -,               -,4.7,               -,               -,152,               -,               -,               -,47,               -,               -,14:16,16:49,,7:00,7:00,,11:31,11:31,,7:00,7:00,,12:10,12:58,,7:00,7:00,,7:00,7:00,,,10.16,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8270,YDP-165WH,U,VCS0270,VAS6550,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,5,         -,         -,20,         -,         -,         -,         -,20,,,,,,85.6,                -  ,                -  ,"1,712",                -  ,                -  ,                -  ,                -  ,,               -,               -,4.7,               -,               -,               -,               -,               -,               -,95,               -,               -,               -,               -,16:49,16:49,,7:00,7:00,,11:31,13:06,,7:00,7:00,,12:58,12:58,,7:00,7:00,,7:00,7:00,,,4.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8360,YDP-165WA,B,VCS0270,VAS6540,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,6,         -,,         -,,6,         -,         -,6,,,,,,85.6,                -  ,                -  ,                -  ,                -  ,514,                -  ,                -  ,,               -,               -,               -,               -,4.7,               -,               -,               -,               -,               -,               -,28,               -,               -,16:49,16:49,,7:00,7:00,,13:06,13:06,,7:00,7:00,,12:58,13:26,,7:00,7:00,,7:00,7:00,,,4.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8380,YDP-165WA,J,VCS0270,VAS6540,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,7,         -,,20,,         -,         -,         -,20,,,,,,85.6,                -  ,                -  ,"1,712",                -  ,                -  ,                -  ,                -  ,,               -,               -,4.7,               -,               -,               -,               -,               -,               -,95,               -,               -,               -,               -,16:49,16:49,,7:00,7:00,,13:06,14:41,,7:00,7:00,,13:26,13:26,,7:00,7:00,,7:00,7:00,,,4.74,               -  ,0.00%,,,,,,,,,,,,,,,,
,VEG8400,YDP-165WA,Y,VCS0270,VAS6540,GH3 GKS KEYBOARD AI-W_EB-B 165,ZV60160,8,         -,,         -,,14,         -,         -,14,,,,,,85.6,                -  ,                -  ,                -  ,                -  ,"1,198",                -  ,                -  ,,               -,               -,               -,               -,4.7,               -,               -,               -,               -,               -,               -,66,               -,               -,16:49,16:49,,7:00,7:00,,14:41,14:41,,7:00,7:00,,13:26,14:32,,7:00,7:00,,7:00,7:00,,,4.74,               -  ,0.00%,,,,,,,,,,,,,,,,
