 SCHEDULE FA1 (REVISI 0) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 LINE , PART NO , MODEL , SPEC , PEDAL , SCREW SET , KEYBOARD , NO PART KEYBOARD , NO. URUT ,SCHEDULE (REVISI 0),,,,,,,TOTAL,GROUP KERJA, Wkt kerja ,Target Eff Direct,Jmlh Group, Jml Opr Direct , ST ,"Beban
(ST x Sch)",,,,,,,Judgment Capacity,"TAKT TIME PER MODEL
(BEBAN/TOTAL BEBAN) * WAKTU KERJA/SCH",,,,,,,"LAMA PENGERJAAN
(Takt Time x Sch)",,,,,,, WAKTU PENGERJAAN (berdasarkan Takt Time Per Model) ,,,,,,,,,,,,,,,,,,,,,Takt Time ALL Model, Takt Time Per Model , Pitch Time  ,Pitch : Takt,,,,,,,,,,,,,,,,
,,,,,,,,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,,,,,,,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,Sun,,Istirahat,Mon,,Istirahat,Tue,,Istirahat,Wed,,Istirahat,Thu,,Istirahat,Fri,,Istirahat,Sat,,Istirahat,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,,,,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,Start,Stop,,,,,,,Note:,,,,,,,,,,,,,,
,VHU0720,CLP-825WH,J,VFG9690,VCS5930,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,8,         -,30,         -,         -,         -,         -,         -,30,,,,,,83.51,                -  ,"2,505",                -  ,                -  ,                -  ,                -  ,                -  ,,               -,5.5,               -,               -,               -,               -,               -,               -,164,               -,               -,               -,               -,               -,7:00,7:00,,13:06,15:50,,9:58,9:58,,13:06,13:06,,7:00,7:00,,15:50,15:50,,7:00,7:00,,,5.47,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4490,CLP-825WH,K,VFG9690,VCS5930,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,9,         -,         -,         -,30,30,         -,         -,60,,,,,,83.51,                -  ,                -  ,                -  ,"2,505","2,505",                -  ,                -  ,,               -,               -,               -,5.5,5.5,               -,               -,               -,               -,               -,164,164,               -,               -,7:00,7:00,,15:50,15:50,,9:58,9:58,,13:06,15:50,,7:00,9:58,15,15:50,15:50,,7:00,7:00,,,5.47,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4240,CLP-825R,E,VFG9700,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,10,,,20,,         -,,,20,,,,,,83.51,                -  ,                -  ,"1,670",                -  ,                -  ,                -  ,                -  ,,               -,               -,5.5,               -,               -,               -,               -,               -,               -,109,               -,               -,               -,               -,7:00,7:00,,15:50,15:50,,9:58,12:33,45,15:50,15:50,,9:58,9:58,,15:50,15:50,,7:00,7:00,,,5.47,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4320,CLP-825R,Y2,VFG9700,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,11,,,         -,,9,,,9,,,,,,83.51,                -  ,                -  ,                -  ,                -  ,752,                -  ,                -  ,,               -,               -,               -,               -,5.5,               -,               -,               -,               -,               -,               -,49,               -,               -,7:00,7:00,,15:50,15:50,,12:33,12:33,,15:50,15:50,,9:58,10:48,,15:50,15:50,,7:00,7:00,,,5.47,               -  ,0.00%,,,,,,,,,,,,,,,,
,VHU0710,CLP-825R,J,VFG9700,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,12,,,         -,,16,,,16,,,,,,83.51,                -  ,                -  ,                -  ,                -  ,"1,336",                -  ,                -  ,,               -,               -,               -,               -,5.5,               -,               -,               -,               -,               -,               -,87,               -,               -,7:00,7:00,,15:50,15:50,,12:33,12:33,,15:50,15:50,,10:48,13:00,45,15:50,15:50,,7:00,7:00,,,5.47,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4340,CLP-825B,E,VFG9690,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,13,,,22,,         -,,,22,,,,,,83.51,                -  ,                -  ,"1,837",                -  ,                -  ,                -  ,                -  ,,               -,               -,5.5,               -,               -,               -,               -,               -,               -,120,               -,               -,               -,               -,7:00,7:00,,15:50,15:50,,12:33,14:33,,15:50,15:50,,13:00,13:00,,15:50,15:50,,7:00,7:00,,,5.47,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4350,CLP-825B,B,VFG9690,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,14,,,         -,,29,,,29,,,,,,83.51,                -  ,                -  ,                -  ,                -  ,"2,422",                -  ,                -  ,,               -,               -,               -,               -,5.5,               -,               -,               -,               -,               -,               -,158,               -,               -,7:00,7:00,,15:50,15:50,,14:33,14:33,,15:50,15:50,,13:00,15:39,,15:50,15:50,,7:00,7:00,,,5.47,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4360,CLP-825B,U,VFG9690,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,15,,,14,,         -,,,14,,,,,,83.51,                -  ,                -  ,"1,169",                -  ,                -  ,                -  ,                -  ,,               -,               -,5.5,               -,               -,               -,               -,               -,               -,77,               -,               -,               -,               -,7:00,7:00,,15:50,15:50,,14:33,15:50,,15:50,15:50,,15:39,15:39,,15:50,15:50,,7:00,7:00,,,5.47,               -  ,0.00%,,,,,,,,,,,,,,,,
,VGF4420,CLP-825B,Y2,VFG9690,VCQ0160,NL4SAP2 KEYBOARD AI_EB_ESC_88,VGN1300,16,,,         -,,2,,,2,,,,,,83.51,                -  ,                -  ,                -  ,                -  ,167,                -  ,                -  ,,               -,               -,               -,               -,5.5,               -,               -,               -,               -,               -,               -,11,               -,               -,7:00,7:00,,15:50,15:50,,15:50,15:50,,15:50,15:50,,15:39,15:50,,15:50,15:50,,7:00,7:00,,,5.47,               -  ,0.00%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,                 -,,,,,,,                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,                -  ,,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,               -,7:00,7:00,,15:50,15:50,,15:50,15:50,,15:50,15:50,,15:50,15:50,,15:50,15:50,,7:00,7:00,,,,,- ,,,,Pitch : Takt ,80% - 90%,,,,,,,,,,,
