Reserv.no., Itm,RcT,MvT,Material,Material description,ReqmtsDate,Reqmts qty,BUn,Qty. withdr.,BUn,Difference,BUn,PGr,Bin,User name,Base date,Plnt,SLoc,Plant,Rec.,Del,FIs,G/L acct,Cost ctr,Vendor
1215823505,1,,9L7,VGH5980,FRONT LEG STAY L 001910,10.09.2025,40,PC,0,PC,40,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823506,1,,9L7,VGH5990,FRONT LEG STAY R 001910,10.09.2025,40,PC,0,PC,40,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823524,1,,9L7,VGJ9950,FRONT PANEL PRINTED 001916,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM04,8200,WL01,,,,,
1215823526,1,,9L7,VAH2130,REAR PANEL 000136,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL06,,,,,
1215823529,1,,9L7,VAH3700,FRONT LEG L 000136,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL06,,,,,
1215823530,1,,9L7,VAH3710,FRONT LEG R 000136,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL06,,,,,
1215823533,1,,9L7,VGH6230,PEDAL BOX SUB ASSY 001910,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823540,1,,9L7,VGH358A,TOP BOARD WOODEN ASSY 001910,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823541,1,,9L7,VGH386A,KEY STOP RAIL WOODEN ASSY 001910,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823542,1,,9L7,VEH8440,KEY COVER FRONT PRNT 001370,10.09.2025,20,PC,0,PC,20,PC,999,,BP5018200,04.09.2025,8200,WM04,8200,WL02,,,,,
1215823543,1,,9L7,VGK6800,ARM ASSY L 001916,10.09.2025,18,PC,0,PC,18,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823544,1,,9L7,VGK6870,ARM ASSY R 001916,10.09.2025,24,PC,0,PC,24,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL01,,,,,
1215823545,1,,9L7,VFS9910,KEYBED 001644,10.09.2025,6,PC,0,PC,6,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
1215823561,1,,9L7,VGH4270,FRONT PANEL PRINTED 001910,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM04,8200,WL01,,,,,
1215823562,1,,9L7,VGH5140,KEY COVER 001910,10.09.2025,30,PC,0,PC,30,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823564,1,,9L7,VGH5280,KEY COVER FR PANEL 001910,10.09.2025,40,PC,0,PC,40,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823565,1,,9L7,VGH5380,KEY COVER REAR PANEL 001910,10.09.2025,40,PC,0,PC,40,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL01,,,,,
1215823566,1,,9L7,ZC63860,SP COVER :,10.09.2025,100,PC,0,PC,100,PC,999,,BP5018200,04.09.2025,8200,WM04,8200,WL10,,,,,
1215823571,1,,9L7,VAH2830,FRONT PANEL PRINTED 000136,10.09.2025,10,PC,0,PC,10,PC,999,,BP5018200,04.09.2025,8200,WM04,8200,WL06,,,,,
1215823572,1,,9L7,VGJ1650,KEY STP RAIL BACK 001798,10.09.2025,10,PC,0,PC,10,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
1215823578,1,,9L7,ZA61010,REAR PANEL SET CL #3438,10.09.2025,80,PC,0,PC,80,PC,999,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823581,1,,9L7,WQ61690,PEDAL BOARD ASSY #3299,10.09.2025,110,PC,0,PC,110,PC,999,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823586,1,,9L7,V756410,MCA BENCH BC-102PE,10.09.2025,4,SET,0,SET,4,SET,999,,BP5018200,04.09.2025,8200,WM04,8200,WL10,,,,,
1215823587,1,,9L7,VEK9860,KEYBED UNIT 000963,10.09.2025,130,PC,0,PC,130,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823589,1,,9L7,VEW1780,P-BOX SUB ASSY CL 001366,10.09.2025,100,PC,0,PC,100,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823590,1,,9L7,VAC4760,SP BOX ASSY 000105,10.09.2025,5,PC,0,PC,5,PC,999,,BP5018200,04.09.2025,8200,WM10,8200,WL10,,,,,
1215823591,1,,9L7,VEX4870,TOP BOARD ASSY 001364,10.09.2025,130,PC,0,PC,130,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823593,1,,9L7,VAG9040,SIDE BOARD L 000150,10.09.2025,60,PC,0,PC,60,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823595,1,,9L7,VAG9050,SIDE BOARD R 000150,10.09.2025,60,PC,0,PC,60,PC,,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
1215823598,1,,9L7,VFD9620,PEDAL BOX SUB ASSY 001360,10.09.2025,280,PC,0,PC,280,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823599,1,,9L7,VFD9630,PEDAL BOX SUB ASSY 001361,10.09.2025,200,PC,0,PC,200,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823600,1,,9L7,VFD9640,PEDAL BOX SUB ASSY 001362,10.09.2025,20,PC,0,PC,20,PC,,,BP5018200,04.09.2025,8200,WM10,8200,WL02,,,,,
1215823603,1,,9L7,VAP0440,ARM ASSY L 000144,10.09.2025,95,PC,0,PC,95,PC,999,,BP5018200,04.09.2025,8200,WM06,8200,WL02,,,,,
